year,state,residential,commercial,industrial,transportation,total
2018,AK,21.94,18.579999999999998,17.100000000000001,0,19.36
2018,AL,12.18,11.24,6.01,0,9.6300000000000008
2018,AR,9.81,7.75,5.64,11.35,7.78
2018,AZ,12.77,10.64,6.55,10.02,10.85
2018,CA,18.84,16.34,13.2,8.64,16.579999999999998
2018,CO,12.15,10.02,7.47,9,10.02
2018,CT,21.2,16.760000000000002,13.77,12.84,18.41
2018,DC,12.84,11.97,8.3000000000000007,9.5399999999999991,12.03
2018,DE,12.53,9.65,7.95,0,10.55
2018,FL,11.54,9.19,7.65,8.26,10.32
2018,GA,11.47,9.7899999999999991,6,5.52,9.6199999999999992
2018,HI,32.47,29.9,26.1,0,29.18
2018,IA,12.24,9.68,6.45,0,8.92
2018,ID,10.15,7.93,6.47,0,8.17
2018,IL,12.77,9.1199999999999992,6.8,6.75,9.6
2018,IN,12.26,10.6,7.38,10.44,9.75
2018,KS,13.35,10.66,7.6,0,10.72
2018,KY,10.6,9.74,5.68,0,8.52
2018,LA,9.59,8.85,5.35,9.2100000000000009,7.71
2018,MA,21.61,17.170000000000002,14.89,6.38,18.5
2018,MD,13.3,10.43,8.23,7.44,11.57
2018,ME,16.84,12.51,9.32,0,13.44
2018,MI,15.45,11.15,7.1,10.76,11.4
2018,MN,13.14,10.38,7.52,9.58,10.37
2018,MO,11.34,9.4,7.22,8.52,9.93
2018,MS,11.12,10.43,6,0,9.24
2018,MT,10.96,10.11,5.19,0,8.84
2018,NC,11.09,8.58,6.33,8.02,9.25
2018,ND,10.25,9.1,7.98,0,8.91
2018,NE,10.7,8.83,7.6,0,9.02
2018,NH,19.690000000000001,15.81,13.42,0,17.010000000000002
2018,NJ,15.41,12.21,10.07,9.07,13.23
2018,NM,12.68,10.02,5.84,0,9.35
2018,NV,11.85,7.74,6.1,8.31,8.67
2018,NY,18.52,14.5,6.02,12.14,14.83
2018,OH,12.56,10.11,7.01,7.33,9.94
2018,OK,10.3,8.07,5.34,0,8.09
2018,OR,10.98,8.91,5.86,9.16,8.85
2018,PA,13.89,8.94,6.84,7.78,10.1
2018,RI,20.55,16.579999999999998,15.39,17.010000000000002,18.100000000000001
2018,SC,12.44,10.11,6.1,0,9.67
2018,SD,11.59,9.6199999999999992,7.77,0,9.9700000000000006
2018,TN,10.71,10.51,5.68,0,9.58
2018,TX,11.2,8.16,5.39,8.08,8.48
2018,UT,10.41,8.23,5.9,10.59,8.2100000000000009
2018,VA,11.73,8.32,6.86,8.2799999999999994,9.48
2018,VT,18.02,15.24,10.66,0,15.13
2018,WA,9.75,8.7200000000000006,4.72,9.3800000000000008,8
2018,WI,14.02,10.67,7.33,13.85,10.58
2018,WV,11.18,9.24,6.4,0,8.7200000000000006
2018,WY,11.29,9.58,6.71,0,8.09
2018,US,12.87,10.67,6.92,9.6999999999999993,10.53
