year,month,state,coal,petroleum,natural_gas,hydroelectric_conventional,wind,total,other_gases,nuclear,wood_and_wood_derived_fuels,other_biomass,other,solar_thermal_and_photovoltaic,pumped_storage,geothermal
2001,1,AK,46903,71085,367521,104549,87,590145,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,AL,6557913,107497,566478,727118,NA,11326642,25283,2940300,399474,1694,885,NA,NA,NA
2001,1,AR,2149808,124389,191970,272026,NA,3903323,NA,1028544,135977,553,56,NA,NA,NA
2001,1,AZ,3418454,143626,651812,607969,NA,7573925,NA,2733255,NA,453,NA,0,18356,NA
2001,1,CA,199857,459703,10192494,1590096,133423,16618887,97569,2379998,313245,178497,18027,6500,-36255,1085733
2001,1,CO,3245939,20510,785000,111346,4158,4163453,NA,NA,NA,5160,0,NA,-8660,NA
2001,1,CT,327541,923930,125845,37537,NA,2930434,137,1366126,NA,74757,74561,NA,0,NA
2001,1,DC,NA,9251,NA,NA,NA,9251,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,DE,474117,132408,7062,NA,NA,626139,12552,NA,NA,NA,NA,NA,NA,NA
2001,1,FL,6721861,4496351,2203652,7830,NA,16937281,9,2942999,163756,170974,229849,NA,NA,NA
2001,1,GA,7258909,217585,77667,239920,NA,11084082,NA,3064367,258328,2206,615,NA,-35515,NA
2001,1,HI,134161,725556,0,6613,109,924573,3980,NA,NA,21098,11919,NA,NA,21137
2001,1,IA,3230308,5328,23761,66640,43633,3761273,NA,382045,NA,8997,561,NA,NA,NA
2001,1,ID,4716,926,20201,526211,NA,605338,NA,NA,43491,NA,9793,NA,NA,NA
2001,1,IL,7539572,17066,137681,12599,NA,16039369,28111,8237539,NA,59136,7665,NA,NA,NA
2001,1,IN,10474896,46184,156226,51662,NA,10947422,208592,NA,NA,8617,1245,NA,NA,NA
2001,1,KS,3054603,101892,63439,NA,NA,4108052,NA,888118,NA,NA,NA,NA,NA,NA
2001,1,KY,7894331,7214,22234,193594,NA,8118236,NA,NA,863,NA,NA,NA,NA,NA
2001,1,LA,2127592,801829,2775763,6457,NA,7595003,34910,1539420,219594,6582,82856,NA,NA,NA
2001,1,MA,1125766,1328693,626005,105826,NA,3801943,NA,491137,12773,99838,63860,NA,-51955,NA
2001,1,MD,2744346,365825,54407,71864,NA,4602543,28603,1293872,1054,25585,16988,NA,NA,NA
2001,1,ME,54403,444656,504401,261001,NA,1648488,0,NA,326854,21247,35926,NA,NA,NA
2001,1,MI,6259013,66886,801125,122772,NA,10182660,0,2824251,145136,49848,13039,NA,-99410,NA
2001,1,MN,2894901,53344,64566,61161,86227,4332835,NA,1059132,49480,41860,22164,NA,NA,NA
2001,1,MO,6138552,55918,42735,31124,NA,7119915,NA,864162,NA,866,5488,NA,-18931,NA
2001,1,MS,1581792,655837,264712,NA,NA,3563612,NA,946566,114638,0,67,NA,NA,NA
2001,1,MT,1584887,40558,1562,668675,NA,2300794,NA,NA,5112,NA,NA,NA,NA,NA
2001,1,NC,6622628,112577,27036,146363,NA,10511795,55,3417845,136160,21130,28001,NA,0,NA
2001,1,ND,2585304,4275,178,156620,NA,2750739,3719,NA,NA,643,NA,NA,NA,NA
2001,1,NE,1871573,3021,5096,81350,228,2898716,NA,935874,NA,1574,0,NA,NA,NA
2001,1,NH,382524,6498,7972,117021,NA,652365,NA,41921,75391,15776,5262,NA,NA,NA
2001,1,NJ,1190063,258178,877690,1591,NA,5305915,40896,2849594,NA,66089,34683,NA,-12869,NA
2001,1,NM,2626719,12957,265444,12432,NA,2919113,NA,NA,NA,1561,NA,NA,NA,NA
2001,1,NV,1425411,85556,1134772,211345,NA,2965823,NA,NA,NA,NA,NA,NA,NA,108739
2001,1,NY,2453303,2756448,1899517,2017382,1516,12622133,6580,3333411,52870,99897,62026,NA,-60817,NA
2001,1,OH,11492713,40488,34056,48026,NA,13162516,23431,1482026,39217,2559,NA,NA,NA,NA
2001,1,OK,3161698,135320,968819,209476,NA,4490790,4474,NA,19646,NA,NA,NA,-8643,NA
2001,1,OR,389103,56160,845963,2804729,3211,4150338,NA,NA,44241,3951,2980,NA,NA,NA
2001,1,PA,10889141,588230,103472,184750,1084,18863626,42110,6856605,42496,107152,67903,NA,-19317,NA
2001,1,RI,NA,18700,395294,177,NA,423873,NA,NA,NA,9702,NA,NA,NA,NA
2001,1,SC,3620493,58263,41717,101684,NA,7645817,175,3768823,112511,2383,2043,NA,-62275,NA
2001,1,SD,326204,23339,4683,274146,0,628372,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,TN,5899864,139093,17145,445056,NA,9106237,1063,2581022,71795,2846,462,NA,-52109,NA
2001,1,TX,11683911,1428770,13750546,138093,83931,31001280,146044,3545310,83435,8587,132652,0,NA,NA
2001,1,UT,2768620,3817,130380,39808,NA,2957243,NA,NA,NA,514,388,NA,NA,13716
2001,1,VA,3547017,652348,235306,73369,NA,7117068,NA,2555570,109737,51226,32721,0,-140226,NA
2001,1,VT,NA,14714,2700,96687,1377,548206,NA,391996,40732,NA,NA,NA,NA,NA
2001,1,WA,830616,226974,754367,5545110,NA,8318002,NA,842334,103588,10809,4204,NA,NA,NA
2001,1,WI,3859037,40676,89116,139435,4482,5363511,NA,1122915,69618,23221,15011,NA,NA,NA
2001,1,WV,8533579,18496,11016,79034,NA,8653387,9408,NA,0,1057,797,NA,NA,NA
2001,1,WY,3882449,2898,58059,43775,25784,4020680,741,NA,NA,NA,6974,NA,NA,NA
2001,1,US-TOTAL,177287111,18111843,42388663,18852048,389250,332493160,718442,68707077,3191212,1208647,991669,6500,-588626,1229325
2001,2,AK,54056,67910,334016,90111,74,546167,NA,NA,NA,NA,NA,NA,NA,NA
2001,2,AL,5479455,35394,276610,922210,NA,9576039,14084,2515933,330401,1369,583,NA,NA,NA
2001,2,AR,1625228,59710,59236,287399,NA,3372020,NA,1214538,125193,692,24,NA,NA,NA
2001,2,AZ,2912670,54796,920459,526752,NA,6616639,NA,2186021,NA,469,NA,0,15472,NA
2001,2,CA,184141,354943,8870575,1290013,147624,14380392,101840,2229872,225437,167870,17302,12568,-172957,951164
2001,2,CO,2881716,23430,798303,86630,2441,3777266,NA,NA,NA,5291,0,NA,-20545,NA
2001,2,CT,354781,485208,211055,33260,NA,1852626,150,620610,NA,76715,70847,NA,0,NA
2001,2,DC,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2001,2,DE,426947,62622,20295,NA,NA,521099,11235,NA,NA,NA,NA,NA,NA,NA
2001,2,FL,5359079,2375368,1866533,7381,NA,12761418,15,2631853,139463,158789,222937,NA,NA,NA
2001,2,GA,4992600,74072,88746,189491,NA,8331590,NA,2765573,254412,2014,603,NA,-35921,NA
2001,2,HI,130576,612729,0,7784,111,800847,2521,NA,NA,20547,11554,NA,NA,15025
2001,2,IA,2741719,5977,22282,77023,33105,3243662,NA,355555,NA,7437,564,NA,NA,NA
2001,2,ID,4367,1054,19717,429832,NA,503368,NA,NA,38758,NA,9640,NA,NA,NA
2001,2,IL,6267815,78925,260449,11020,NA,13913663,27066,7216833,NA,48388,3167,NA,NA,NA
2001,2,IN,9145681,36557,224426,37450,NA,9660651,206746,NA,NA,8555,1236,NA,NA,NA
2001,2,KS,2337579,75491,57811,NA,NA,3273967,NA,803086,NA,NA,NA,NA,NA,NA
2001,2,KY,7340263,6968,20352,165380,NA,7533754,NA,NA,791,NA,NA,NA,NA,NA
2001,2,LA,1491934,420216,2478315,71522,NA,6105164,33342,1339650,199119,4278,66788,NA,NA,NA
2001,2,MA,965820,974872,562326,72302,NA,3145754,NA,449547,11669,91723,59341,NA,-41846,NA
2001,2,MD,2478517,243200,60195,154196,NA,4182074,32383,1168618,762,26399,17804,NA,NA,NA
2001,2,ME,44501,285136,579980,230248,NA,1462646,0,NA,275019,18048,29714,NA,NA,NA
2001,2,MI,5351283,12087,721508,121859,NA,8870735,738,2565290,125588,43218,10241,NA,-81078,NA
2001,2,MN,2750914,52366,81615,54945,73164,3840229,NA,730018,44618,34647,17942,NA,NA,NA
2001,2,MO,5232077,48040,55234,116616,NA,6215930,NA,778452,NA,773,788,NA,-16050,NA
2001,2,MS,984824,677698,162467,NA,NA,2743202,NA,827395,90812,0,6,NA,NA,NA
2001,2,MT,1466221,33515,1222,598328,NA,2105062,NA,NA,5776,NA,NA,NA,NA,NA
2001,2,NC,5341522,42663,12718,163038,NA,8862021,44,3144188,124926,6849,26073,NA,0,NA
2001,2,ND,2374049,5029,163,129011,NA,2513628,4726,NA,NA,650,NA,NA,NA,NA
2001,2,NE,1519343,2739,6674,71285,171,2424581,NA,822821,NA,1548,0,NA,NA,NA
2001,2,NH,323382,8360,6058,77909,NA,1280183,NA,777519,69912,12686,4357,NA,NA,NA
2001,2,NJ,972218,83312,912088,1420,NA,4705993,37049,2621513,NA,59187,30207,NA,-11001,NA
2001,2,NM,2314453,10843,363322,23300,NA,2713390,NA,NA,NA,1472,NA,NA,NA,NA
2001,2,NV,1452390,116912,1045180,259764,NA,2968734,NA,NA,NA,NA,NA,NA,NA,94488
2001,2,NY,2157564,1916731,1854980,2012504,1469,11459532,8362,3366715,46918,92982,58081,NA,-56774,NA
2001,2,OH,10018529,20572,30051,31482,NA,11161698,21729,1004907,32441,1987,NA,NA,NA,NA
2001,2,OK,2912803,4969,726694,372341,NA,4032517,5340,NA,19317,NA,NA,NA,-8947,NA
2001,2,OR,368807,36584,775320,2493914,2894,3717815,NA,NA,33336,3967,2993,NA,NA,NA
2001,2,PA,8442301,101470,97925,180762,849,15053400,42859,6037563,44085,92887,58860,NA,-46161,NA
2001,2,RI,NA,4043,430410,185,NA,443519,NA,NA,NA,8881,NA,NA,NA,NA
2001,2,SC,3037700,25382,32197,100591,NA,6638018,2,3437552,61328,2267,1711,NA,-60712,NA
2001,2,SD,311423,13618,17349,229538,0,571928,NA,NA,NA,NA,NA,NA,NA,NA
2001,2,TN,4442511,28611,14373,624658,NA,7453653,1350,2332668,55684,3414,1203,NA,-50819,NA
2001,2,TX,10236786,303792,11507834,110148,141647,25626521,114433,3037626,74248,7462,92545,0,NA,NA
2001,2,UT,2595626,4164,141602,41371,NA,2795819,NA,NA,NA,393,296,NA,NA,12367
2001,2,VA,3130231,345496,99664,73714,NA,5894142,NA,2204242,91684,41867,26861,0,-119617,NA
2001,2,VT,NA,3284,250,84041,1472,477588,NA,355360,33181,NA,NA,NA,NA,NA
2001,2,WA,749045,36797,906118,4535742,NA,7088155,NA,758058,84110,12885,5400,NA,NA,NA
2001,2,WI,3188659,39054,169069,122015,3550,4593527,NA,972831,58163,25771,14415,NA,NA,NA
2001,2,WV,7214856,26681,12904,113955,NA,7380732,8908,NA,0,1954,1474,NA,NA,NA
2001,2,WY,3626521,2113,50255,38452,22671,3747141,737,NA,NA,NA,6392,NA,NA,NA
2001,2,US-TOTAL,149735484,10341503,37966927,17472889,431242,282940198,675659,61272407,2697151,1096331,871949,12568,-706956,1073044
2001,3,AK,51920,91413,343858,99843,81,587115,NA,NA,NA,NA,NA,NA,NA,NA
2001,3,AL,5392921,40390,389456,1299668,NA,9364445,12521,1873313,354142,1339,695,NA,NA,NA
2001,3,AR,1450768,61015,138628,324613,NA,3125261,NA,1030901,118685,604,47,NA,NA,NA
