geography,gender,total,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,hispanic_or_latino,white_alone__not_hispanic_or_latino,incarceration_rate,incarceration_rate__white_alone,incarceration_rate__black_or_african_american_alone,incarceration_rate__american_indian_and_alaska_native_alone,incarceration_rate__asian_alone,incarceration_rate__native_hawaiian_and_other_pacific_islander_alone,incarceration_rate__some_other_race_alone,incarceration_rate__two_or_more_races,incarceration_rate__hispanic_or_latino,incarceration_rate__white_alone__not_hispanic_or_latino
United States,M,2048575,1009101,833465,32524,14958,4762,134063,19702,388962,774896,1349.6884326863767,916.085656565774,4489.6915907534858,2222.5882041003483,214.57679038854351,1737.62009538301,1352.5481129520886,443.38073875035582,1518.2678345589957,800.78554894670117
Alabama,M,35851,14746,20508,66,50,2,258,221,1122,14073,1545.1765115585461,918.49808807142188,3520.8075813761848,469.75088967971533,197.40218721623435,120.62726176115801,458.52808928857058,632.20528077352174,1081.1019145717507,897.9497038418566
Alaska,M,3499,1507,267,1320,42,40,26,297,203,1411,946.62742000064929,602.35907315844804,2069.9279013877044,2492.1177336832366,235.58447386134171,1056.8031704095113,440.90215363744272,1139.284207296022,1008.5453100158983,585.5573584764719
Arizona,M,60302,31793,7475,5924,1048,1024,11630,1408,24781,20278,1898.7834019717095,1376.8710947582497,5505.2290469877744,4077.7273759783038,1275.2339348511214,14706.304753698118,2999.5873310636543,1293.8084648889053,2603.6205465491335,1110.152436554115
Arkansas,M,23298,12076,10262,135,108,8,532,177,1623,11165,1627.3678313706616,1093.2850245482143,4801.0704394041468,1228.8367012561441,637.46901192303153,263.24448831852584,981.31444487484544,628.72975277067349,1635.2150564718449,1046.2809468163166
California,M,234158,117801,64392,3053,3996,757,41351,2808,98264,60144,1264.5002141179609,1100.3673121944416,5666.3894718779284,1664.6764704278651,173.71126110637033,1055.1846224613539,1284.1179720308169,311.95078109898213,1387.884512822367,807.76585534619744
Colorado,M,36783,25864,6811,1496,350,41,1679,542,12145,16036,1459.2595119853436,1264.4953238998123,6382.4204657264681,5258.7176602924637,554.39396819362605,1221.6924910607866,893.25140318676347,632.84488294704886,2292.3788078120192,912.76066272480352
Connecticut,M,17429,5812,7379,60,74,45,3889,170,4921,5185,1001.8889247844637,431.05142579974796,4273.6181253764535,1062.5110678236231,112.9098704588108,6139.1541609822643,3838.5613044594038,374.5648437844269,2055.5899012514828,419.20398943137019
Delaware,M,6018,2291,3649,5,5,2,45,21,181,2194,1383.6423038633004,761.82052160264959,4027.9939508339685,237.6425855513308,36.467070235577275,1010.1010101010102,276.70171555063638,185.10356985456147,477.24516163054369,771.72001406964466
District of Columbia,M,3107,158,2734,19,18,1,95,82,261,73,1093.15957244689,137.70263203765035,1973.8362019175233,1846.4528668610301,204.3828772567276,636.9426751592357,727.07791213837436,1036.531411958033,923.63224573572097,70.389262262677292
Florida,M,150114,75426,70619,360,388,31,2158,1132,20681,58876,1633.5640531898048,1091.8591309770625,4892.9894565739305,974.44781290601986,184.93627324811013,490.73927497229693,610.46158024118608,489.01445443784934,991.01136732829934,1103.473196693029
Georgia,M,94011,34387,55311,167,348,40,3067,691,9016,29795,1987.8959758486212,1202.8704903725236,4005.9969363477353,1007.7846840866574,229.00461957594663,1101.6248967226659,1419.4868187203792,680.83513148690054,1958.0844825713975,1119.5685706158624
Hawaii,M,4577,1112,194,18,1011,1748,162,332,400,1018,671.86011452594744,613.69669475763942,1462.3850444745967,809.71659919028343,412.35515566305156,2539.6271920266167,1735.9622803257607,205.931062715933,654.83596359112039,609.30355048002104
Idaho,M,9778,8477,287,317,27,17,481,172,1603,7446,1245.0911980278204,1215.8669416722366,4994.7789766794294,2966.7758540009359,318.54648419065597,1361.0888710968775,1131.1791543201166,884.4097079391197,1749.8662765945833,1134.5455875227412
Illinois,M,64482,22956,36662,307,205,12,3951,389,9051,18403,1024.7802226094341,508.19237724716731,4196.2444173307113,1361.419068736142,72.576904966738539,576.64584334454582,878.16002027036041,269.39990996918175,864.79286916126273,460.0705143124855
Indiana,M,43959,27270,15582,152,70,13,682,190,2877,25204,1378.1386992093705,1013.8635712163871,5495.2883421735696,1622.0253975029345,141.4941785252264,1114.9228130360207,729.52880141199125,301.68307399174341,1403.8460600086855,970.91043848139805
Iowa,M,11785,8387,2829,214,82,10,136,127,973,7627,781.33339167642919,611.74726894633147,6001.1454996711991,3893.7409024745266,311.32541098750903,961.53846153846155,445.87240180971736,473.70384185005594,1216.386843519896,573.80854039568487
Kansas,M,16484,10311,5182,299,138,7,343,204,2443,8397,1164.6111933802833,873.54927365195442,6036.1798040745962,2134.9518029275259,424.99461057559051,580.9128630705394,581.99711546619153,479.03066735546895,1561.1719973160366,764.93453373792181
Kentucky,M,36271,23800,11240,241,107,11,466,406,2111,22436,1698.914073946393,1273.3816683332986,6733.2806172573273,4589.6019805751284,467.90274619555709,830.18867924528308,1440.8063568623813,1091.5739097703931,2841.911121282697,1223.1128866249151
Louisiana,M,55862,17679,37335,129,106,10,343,260,2039,16249,2517.1090600065249,1261.9077870110366,5405.8554384339168,845.9571119417667,305.26437046423223,956.02294455066919,841.77976292733206,723.99198039652481,1916.4614545933041,1206.4607909523979
Maine,M,3322,2971,234,55,19,2,20,21,66,2922,511.03289562745363,480.56859465632311,2655.1685010779529,1296.5582272512966,322.08848957450414,1081.081081081081,875.27352297592995,201.80665000960985,774.7388191102242,476.61068149455451
Maryland,M,33162,9655,22937,36,94,8,287,145,1384,8704,1187.8519730550097,586.53075109955535,2901.0454742071674,351.87176229107615,62.198930707744431,503.14465408805029,256.52714092903943,180.87017263746134,561.49005829922066,564.03377463273648
Massachusetts,M,22726,14931,6130,174,205,4,1109,173,5487,10831,717.6719210466149,586.61407268734149,2923.3212362835193,1814.7684605757195,122.63992916796286,357.78175313059035,735.98704556615917,208.16788198204702,1780.9441892922637,449.98782693811353
Michigan,M,59364,28608,29482,530,186,6,229,323,2435,26689,1224.4761571200677,743.81454556800099,4431.9572348146612,1714.3781335921074,161.54387305778235,464.39628482972137,298.96341941042846,286.25615938175758,1097.276860751736,715.80930383126542
Minnesota,M,17864,9850,5861,1302,382,16,236,217,2015,8264,678.68936664270632,439.79771983858313,4191.9079940207557,4306.4100019845209,367.52325883450874,1481.4814814814815,425.86210007759354,350.11858855418774,1528.0200197163872,379.4524479136773
Mississippi,M,31477,11265,18338,140,174,16,941,603,3926,8893,2184.0220920873694,1304.0201790321889,3546.6040560246624,1889.8488120950324,1440.3973509933774,2560,4045.7457328346018,3558.9919140648053,8233.5423526204304,1052.0861307530231
Missouri,M,38025,22125,15225,160,33,30,243,209,1254,21238,1296.2433317186399,908.13342768343682,4625.2134129670021,1160.5977078195272,71.594385264573802,962.77278562259312,559.12197142265484,339.66618452487364,1132.382156402384,891.95343598203488
Montana,M,4638,3348,133,955,12,0,142,48,260,3268,933.82487662759956,753.22787843064032,5070.5299275638581,3084.1272404327465,481.92771084337352,0,4385.4231006794316,384.30744595676538,1795.0842308754488,748.90917757489092
Nebraska,M,7184,4782,1842,279,46,1,172,62,1312,3712,792.67700618782385,615.22231370934537,4371.3512743841666,3084.918177797435,297.61904761904759,149.92503748125935,408.75496090686568,315.81092094539525,1488.3889777535765,502.2317653473612
Nevada,M,17768,10653,5180,374,361,40,878,282,4278,7653,1303.0061248914651,1171.0106438524965,4678.0456967398177,2354.2742037013722,409.79884666030966,473.93364928909955,522.19321148825065,450.45045045045043,1165.4484579193556,1027.7049266184038
New Hampshire,M,4360,3848,318,25,21,2,88,58,330,3646,671.3951776579396,631.98002890553153,3750,1530.9246785058176,155.902004454343,1030.9278350515465,1412.0667522464698,552.11803902903375,1794.7462881383585,609.17946233145642
New Jersey,M,41074,14817,22602,200,332,41,2401,681,8980,9902,959.76259463501265,504.1274006188209,3995.3615482246964,1331.5579227696405,94.132857754477698,2638.3526383526387,838.64545311654069,571.33748343037405,1146.2590851882392,390.8609124087879
New Mexico,M,15826,11275,986,1703,54,6,1549,253,8435,4735,1555.501606512938,1627.2659046299505,4201.4658258053523,1820.7282913165268,424.16149556201395,623.70062370062374,995.46289988817921,661.6108786610879,1783.8373969297272,1151.95321148012
New York,M,88639,30906,47754,702,709,50,8081,437,19714,22288,945.26618810604111,497.43852797081746,3360.6762732905268,1316.3322707669229,103.85098189711869,1131.7338162064282,1121.3767914830314,154.92882846152483,1170.5344058976789,404.68114111075965
North Carolina,M,56361,21809,31747,991,203,14,1256,341,3756,19525,1213.2407073351972,682.37739797348718,3310.7624024536367,1658.5218904806534,203.28866991127401,407.56914119359533,553.96286331760246,338.35407116350143,878.11378540451449,643.02020911247735
North Dakota,M,2193,1387,124,598,2,1,56,25,132,1319,645.25810324129657,453.80334315974073,2579.5714582899936,3331.4763231197771,58.771672054069946,588.23529411764707,2795.8062905641536,424.30414120841823,1836.9050932368493,437.1530367056094
Ohio,M,69244,36617,30735,168,227,13,1040,444,3608,34570,1229.4403777168104,784.17809282628139,4584.4943109610213,1311.3730387947858,247.3979619639257,628.01932367149755,1504.3902156774818,381.10933717876088,1973.2452446320947,755.15617446663407
